candid_name	candid_surname	term_1994	list_id_1994	list_name_1994	candid_num_1994	candid_title_1994	candid_age_1994	party_abb_1994	aff_abb_1994	votes_num_1994	votes_share_1994	candid_order_1994	candid_seat_1994	term_1998	list_id_1998	list_name_1998	candid_num_1998	candid_title_1998	candid_age_1998	party_abb_1998	aff_abb_1998	votes_num_1998	votes_share_1998	candid_order_1998	candid_seat_1998	term_2002	list_id_2002	list_name_2002	candid_num_2002	candid_title_2002	candid_age_2002	party_abb_2002	aff_abb_2002	votes_num_2002	votes_share_2002	candid_order_2002	candid_seat_2002	term_2006	list_id_2006	list_name_2006	candid_num_2006	candid_title_2006	candid_age_2006	party_abb_2006	aff_abb_2006	votes_num_2006	votes_share_2006	candid_order_2006	candid_seat_2006	term_2010	list_id_2010	list_name_2010	candid_num_2010	candid_title_2010	candid_age_2010	party_abb_2010	aff_abb_2010	votes_num_2010	votes_share_2010	candid_order_2010	candid_seat_2010
Marie	Je¯·bkov·	1994	5	SdruûenÌ nez·visl˝ch kandid·t˘	6		36	NK	BEZPP	58	23.1	1	*	1998	3	Sdruû.nez·v.kand.-mÌst.celkem	4		40	NK	NEZ	65	29.68	1	*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Marie	Tali·nov·	1994	3	K¯esù.a dem.unie-»s.str.lidov·	4		50	KDU-»SL	BEZPP	90	9.29	1		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2002	1	K¯esù.demokr.unie-»s.str.lid.	9		58	KDU-»SL	BEZPP	80	7.3	5		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Martina	äleisov·	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010	5	ObËansk· demokratick· strana	3		41	ODS	BEZPP	34	8,19	4	-
Milada	Kochtov·	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1998	5	K¯esù.demokr.unie-»s.str.lid.	6		50	KDU-»SL	NEZ	110	11.93	3		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Milan	Smola	1994	4	Komunistick· str.»ech a Moravy	8		36	KS»M	KS»M	45	6.55	6		1998	4	Komunistick· str.»ech a Moravy	4		40	KS»M	KS»M	43	7.73	3		2002	2	Komunistick· str.»ech a Moravy	5		44	KS»M	KS»M	21	4.63	5		2006	2	Komunistick· str.»ech a Moravy	3		48	KS»M	BEZPP	40	11,23	3	-	2010	1	Komunistick· str.»ech a Moravy	2		52	KS»M	BEZPP	44	11,36	2	-
Miloslava	Pravdov·	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010	2	TOP 09	3	Ing.	53	TOP 09	BEZPP	108	11,21	4	*
Miroslav	Je¯·bek	1994	4	Komunistick· str.»ech a Moravy	3		40	KS»M	KS»M	102	14.86	1		1998	4	Komunistick· str.»ech a Moravy	1		44	KS»M	KS»M	96	17.26	2	*	2002	2	Komunistick· str.»ech a Moravy	9		48	KS»M	BEZPP	80	17.66	2		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010	1	Komunistick· str.»ech a Moravy	5		56	KS»M	BEZPP	83	21,44	1	-
Miroslav	Kotous	1994	1	ObËansk· demokratick· strana	5		32	ODS	BEZPP	176	15.35	2	*	1998	1	ObËansk· demokratick· strana	3		36	ODS	NEZ	127	18.54	2	*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	1	K¯esù.demokr.unie-»s.str.lid.	5		44	KDU-»SL	BEZPP	167	12,7	4	*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Old¯ich	Hamtil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1998	5	K¯esù.demokr.unie-»s.str.lid.	7		52	KDU-»SL	NEZ	78	8.45	4		2002	1	K¯esù.demokr.unie-»s.str.lid.	5		56	KDU-»SL	BEZPP	102	8.97	1		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Oto	ävehla	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010	5	ObËansk· demokratick· strana	2		34	ODS	BEZPP	94	22,65	1	*
Pavel	Frnoch	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1998	2	Sdruû.nez·v.kand.-mÌst.celkem	2		23	NK	NEZ	24	12.37	2		2002	3	SdruûenÌ nez·visl˝ch kandid·t˘	5		27	NK	BEZPP	35	6.1	5		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pavel	Kuhn	1994	2	Nez·vislÌ kandid·ti	1		56	NK	BEZPP	32	100	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Petr	Jirotka	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2002	3	SdruûenÌ nez·visl˝ch kandid·t˘	8		50	NK	BEZPP	39	6.8	7		2006	3	ObËansk· demokratick· strana	4		54	ODS	BEZPP	53	6,07	2	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Petr	Lusk	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1998	1	ObËansk· demokratick· strana	5	Ing.†	37	ODS	NEZ	64	9.34	3		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Petra	Hoökov·	1994	5	SdruûenÌ nez·visl˝ch kandid·t˘	3		28	NK	BEZPP	19	7.53	4		1998	3	Sdruû.nez·v.kand.-mÌst.celkem	2		32	NK	NEZ	33	15.6	2		2002	5	SNK - MalenickÈ ûeny	1		36	NK	BEZPP	29	19.72	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Petra	Luskov·	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2002	4	ObËansk· demokratick· strana	8	Mgr.†	40	ODS	BEZPP	35	5.48	6		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010	5	ObËansk· demokratick· strana	6	Mgr.	48	ODS	BEZPP	30	7,22	6	-
Petra	Mr·zov·	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2002	4	ObËansk· demokratick· strana	7	Mgr.†	27	ODS	BEZPP	38	5.95	5		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ren·ta	F¸rbachov·	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1998	3	Sdruû.nez·v.kand.-mÌst.celkem	5		35	NK	NEZ	17	7.76	4		2002	5	SNK - MalenickÈ ûeny	2		39	NK	BEZPP	7	4.76	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Silvie	Havl·tkov·	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	3	ObËansk· demokratick· strana	8	Mgr.	30	ODS	BEZPP	83	9,5	5	-	2010	4	Sdruû.nez·v.kand. Malenice	6		34	NK	BEZPP	79	20,15	1	*
Silvie	P¯Ìlepkov·	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1998	2	Sdruû.nez·v.kand.-mÌst.celkem	5		22	NK	NEZ	20	10.3	4		2002	3	SdruûenÌ nez·visl˝ch kandid·t˘	1	Ing.†	26	NK	BEZPP	62	10.82	3		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ätÏp·n	Hais	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010	5	ObËansk· demokratick· strana	4		32	ODS	BEZPP	12	2,89	5	-
Tom·ö	Kohlberger	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010	4	Sdruû.nez·v.kand. Malenice	1		21	NK	BEZPP	34	8,67	3	-
V·clav	Dejmek	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010	4	Sdruû.nez·v.kand. Malenice	7		28	NK	BEZPP	51	13,01	2	-
V·clav	Frnoch	1994	1	ObËansk· demokratick· strana	9		46	ODS	BEZPP	147	12.82	1		1998	1	ObËansk· demokratick· strana	2		50	ODS	NEZ	112	16.35	1		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
V·clav	SmÌöek	1994	4	Komunistick· str.»ech a Moravy	7		27	KS»M	KS»M	59	8.6	5		1998	4	Komunistick· str.»ech a Moravy	3		31	KS»M	KS»M	47	8.45	2		2002	2	Komunistick· str.»ech a Moravy	2		35	KS»M	KS»M	55	12.14	3		2006	2	Komunistick· str.»ech a Moravy	2		39	KS»M	BEZPP	53	14,88	2	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
V·clav	ätÏtina	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1998	2	Sdruû.nez·v.kand.-mÌst.celkem	9		20	NK	NEZ	11	5.67	8		2002	4	ObËansk· demokratick· strana	5		51	ODS	BEZPP	119	18.65	1	*	2006	3	ObËansk· demokratick· strana	6		28	ODS	BEZPP	117	13,4	3	*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VÏra	Faberov·	1994	5	SdruûenÌ nez·visl˝ch kandid·t˘	5		48	NK	BEZPP	28	11.11	5		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VladimÌr	MartÌnek	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1998	4	Komunistick· str.»ech a Moravy	7		57	KS»M	KS»M	40	7.19	6		2002	2	Komunistick· str.»ech a Moravy	6		61	KS»M	KS»M	16	3.53	6		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VladimÌr	Zatloukal	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2002	3	SdruûenÌ nez·visl˝ch kandid·t˘	3	Ing.†	59	NK	BEZPP	111	19.37	1	*	2006	1	K¯esù.demokr.unie-»s.str.lid.	2	Ing.	63	KDU-»SL	BEZPP	168	12,78	3	*	2010	2	TOP 09	2	Ing.	67	TOP 09	BEZPP	101	10,48	3	*
Vlastimil	Koreö	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1998	5	K¯esù.demokr.unie-»s.str.lid.	4		29	KDU-»SL	NEZ	64	6.94	1		2002	1	K¯esù.demokr.unie-»s.str.lid.	7		33	KDU-»SL	BEZPP	95	8.35	3		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010	3	K¯esù.demokr.unie-»s.str.lid.	8		41	KDU-»SL	BEZPP	43	8,51	6	-
Yveta	Sl·dkov·	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2002	5	SNK - MalenickÈ ûeny	6		27	NK	BEZPP	8	5.44	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Zdena	Houzimov·	1994	5	SdruûenÌ nez·visl˝ch kandid·t˘	4		34	NK	BEZPP	38	15.7	2		1998	3	Sdruû.nez·v.kand.-mÌst.celkem	8		46	NK	NEZ	25	11.41	7		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZdenÏk	äleis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1998	5	K¯esù.demokr.unie-»s.str.lid.	8		29	KDU-»SL	NEZ	59	6.39	5		2002	1	K¯esù.demokr.unie-»s.str.lid.	8		33	KDU-»SL	BEZPP	85	7.47	4		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZdeÚka	Kotousov·	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2002	5	SNK - MalenickÈ ûeny	8		38	NK	BEZPP	45	30.61	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZdeÚka	K˘sov·	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010	3	K¯esù.demokr.unie-»s.str.lid.	9		41	KDU-»SL	BEZPP	29	5,74	7	-
