candid_name	candid_surname	term_1994	list_id_1994	list_name_1994	candid_num_1994	candid_title_1994	candid_age_1994	party_abb_1994	aff_abb_1994	votes_num_1994	votes_share_1994	candid_order_1994	candid_seat_1994	term_1998	list_id_1998	list_name_1998	candid_num_1998	candid_title_1998	candid_age_1998	party_abb_1998	aff_abb_1998	votes_num_1998	votes_share_1998	candid_order_1998	candid_seat_1998	term_2002	list_id_2002	list_name_2002	candid_num_2002	candid_title_2002	candid_age_2002	party_abb_2002	aff_abb_2002	votes_num_2002	votes_share_2002	candid_order_2002	candid_seat_2002	term_2006	list_id_2006	list_name_2006	candid_num_2006	candid_title_2006	candid_age_2006	party_abb_2006	aff_abb_2006	votes_num_2006	votes_share_2006	candid_order_2006	candid_seat_2006	term_2010	list_id_2010	list_name_2010	candid_num_2010	candid_title_2010	candid_age_2010	party_abb_2010	aff_abb_2010	votes_num_2010	votes_share_2010	candid_order_2010	candid_seat_2010
Jana	Mottlov·	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1998	3	Sdruû.nez·v.kand.-mÌst.celkem	7		25	NK	NEZ	11	5.2	6		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Jana	SlepiËkov·	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1998	5	K¯esù.demokr.unie-»s.str.lid.	5		37	KDU-»SL	NEZ	70	7.59	2		2002	1	K¯esù.demokr.unie-»s.str.lid.	6		41	KDU-»SL	BEZPP	131	11.52	2		2006	1	K¯esù.demokr.unie-»s.str.lid.	4	Mgr.	45	KDU-»SL	BEZPP	170	12,93	2	*	2010	3	K¯esù.demokr.unie-»s.str.lid.	1	Mgr.	49	KDU-»SL	BEZPP	136	26,93	1	*
Jana	SmÌökov·	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2002	5	SNK - MalenickÈ ûeny	7		29	NK	BEZPP	4	2.72	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Jana	SvÌtiv·	1994	1	ObËansk· demokratick· strana	7		39	ODS	BEZPP	68	5.93	5		1998	2	Sdruû.nez·v.kand.-mÌst.celkem	7		19	NK	NEZ	7	3.6	6		2002	4	ObËansk· demokratick· strana	1		47	ODS	BEZPP	118	18.49	2	*	2006	3	ObËansk· demokratick· strana	1		51	ODS	BEZPP	170	19,47	1	*	2010	5	ObËansk· demokratick· strana	1		55	ODS	BEZPP	89	21,44	1	-
Jarmila	VaÚatov·	1994	1	ObËansk· demokratick· strana	8	Ing.†	48	ODS	ODS	85	7.41	6		1998	1	ObËansk· demokratick· strana	6	Mgr.†	52	ODS	ODS	67	9.78	4		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JaromÌr	Louda	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1998	5	K¯esù.demokr.unie-»s.str.lid.	9		46	KDU-»SL	NEZ	74	8.2	6		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Jaroslav	Frk	1994	1	ObËansk· demokratick· strana	2	Ing.†	38	ODS	BEZPP	158	13.78	3	*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Jaroslav	Mr·z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1998	2	Sdruû.nez·v.kand.-mÌst.celkem	3		28	NK	NEZ	44	22.68	1	*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Jaroslav	Mr·z	1994	1	ObËansk· demokratick· strana	1		50	ODS	BEZPP	216	18.84	1	*	1998	1	ObËansk· demokratick· strana	1		54	ODS	NEZ	134	19.56	1	*	2002	4	ObËansk· demokratick· strana	4		58	ODS	BEZPP	90	14.1	1		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Jaroslav	Neuûil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010	4	Sdruû.nez·v.kand. Malenice	8		20	NK	BEZPP	71	18,11	1	-
