	1994_Komunistická str.Èech a Moravy	1994_Køes.a dem.unie-Ès.str.lidová	1994_Nezávislí kandidáti	1994_Obèanská demokratická strana	1994_Sdruení nezávislıch kandidátù	1998_Komunistická str.Èech a Moravy	1998_Køes.demokr.unie-Ès.str.lid.	1998_Obèanská demokratická strana	1998_Sdru.nezáv.kand.-míst.celkem	2002_Komunistická str.Èech a Moravy	2002_Køes.demokr.unie-Ès.str.lid.	2002_Obèanská demokratická strana	2002_Sdruení nezávislıch kandidátù	2002_SNK - Malenické eny	2006_Komunistická str.Èech a Moravy	2006_Køes.demokr.unie-Ès.str.lid.	2006_Obèanská demokratická strana	2010_Komunistická str.Èech a Moravy	2010_Køes.demokr.unie-Ès.str.lid.	2010_Obèanská demokratická strana	2010_Sdru.nezáv.kand. Malenice	2010_TOP 09
Alois Stanìk	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
František Beneš	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0
Jindøich Hrabák	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jiøí Furbach	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
Josef Frk	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0
Ladislav Køí	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0
Milan Smola	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0
Miroslav Jeøábek	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
Václav Smíšek	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
Hubert Faber	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jan Stanìk	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
Jana Dejmková	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jana Lukešová	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jiøí Maroušek	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0
Jiøí Maršák	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Jiøí Pilnı	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Josef Blahovec	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
Marie Taliánová	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Pavel Kuhn	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
František Kunc	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jana Svítivá	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0
Jarmila Vaòatová	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jaroslav Frk	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jaroslav Mráz 1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Karel Dolanskı	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Marcela Rolníková	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
Miroslav Kotous	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Václav Frnoch	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alena Škopková	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gertruda Ungerová	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hana Hošková	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Helena Èumrová	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
Irena Sládková	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
Marie Jeøábková	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Petra Hošková	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
Vìra Faberová	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zdena Houzimová	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Jan Lazar	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vladimír Martínek	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Jana Slepièková	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0
Jaromír Louda	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milada Kochtová	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oldøich Hamtil	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Vlastimil Koreš	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
